Company,Title,Link,Salary,Location,Scroll_Step
"Anthropic","Sales Manager","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$435k - $550k/yr","San Francisco, CA, USA + 1 more","1"
"Anthropic","Public Policy - Strategic Advisory","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$265k - $295k/yr","Washington, DC, USA + 1 more","1"
"Anthropic","Network Engineer - Capacity and Efficiency","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$320k - $405k/yr","San Francisco, CA, USA + 1 more","1"
"Asana","Senior Data Science Manager","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$258k - $293k/yr","San Francisco, CA, USA","1"
"Roku","Senior Software Engineer - Content Platform","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$300k - $425k/yr","San Jose, CA, USA","1"
"Cloudflare","Director – Developer GTM","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$314k - $431k/yr","San Francisco, CA, USA + 2 more","1"
"Cloudflare","Director – Developer Partner Strategy","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$311k - $389k/yr","San Francisco, CA, USA + 2 more","1"
"Anthropic","Staff Senior Software Engineer - Cloud Inference Launch Engineering","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$320k - $485k/yr","Seattle, WA, USA + 1 more","1"
"Anthropic","Senior Software Engineer - Compute Capacity","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$320k - $405k/yr","San Francisco, CA, USA + 1 more","1"
"Anthropic","Analytics Data Engineering Manager - Product","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$370k - $450k/yr","Seattle, WA, USA + 2 more","1"
"Anthropic","Analytics Data Engineer","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$275k - $370k/yr","Seattle, WA, USA + 2 more","1"
"Robinhood","Senior Engineering Manager - Agentic AI","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$298k - $350k/yr","Menlo Park, CA, USA + 1 more","1"
"Saviynt","Senior Principal Software Engineer - AI Onboarding","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$260k - $275k/yr","San Francisco, CA, USA","1"
"Anthropic","Community Operations & Executive Escalations Manager","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$260k - $310k/yr","Seattle, WA, USA + 2 more","1"
"Anthropic","Commercial Counsel - Infrastructure Security","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$320k - $385k/yr","Seattle, WA, USA + 3 more","1"
"Anthropic","Certification Development Lead","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$270k - $365k/yr","San Francisco, CA, USA + 1 more","1"
"Box","Enterprise Sales Director","https://simplify.jobs/jobs?state=California%2C%20USA&points=42.009517%3B-114.131211%3B32.528832%3B-124.482003&experience=Senior%3BExpert%20or%20higher&mostRecent=true&h1b=true&simpleApplication=true&minSalary=250000&jobId=4e01e185-a1ba-470c-8514-cb35f1700170&jobType=Full-Time","$341.5k - $427k/yr","San Francisco, CA, USA + 1 more","1"
